source_id,original_path,classified_path,physical_filename,declared_filename,document_title,version,document_date,declared_owner,declared_status,sha256,file_size,file_type,authority_class,canonical_status,document_role,product_or_domain,vertical,supersedes,superseded_by,duplicate_of,conflicts_with,implementation_evidence,ingested_at,notes,batch
KLSRC-0011,docs/source/inbox/kitluy-api-version-and-deprecation-policy-v1.0.0.md,docs/source/api-contracts/kitluy-api-version-and-deprecation-policy-v1.0.0.md,kitluy-api-version-and-deprecation-policy-v1.0.0.md,kitluy-api-version-and-deprecation-policy-v1.0.0.md,KitLuy API Version and Deprecation Policy,1.0.0,,,Canonical shared target policy; not implementation evidence,310920ac196e82654d82ee1b282cf0b59a6d9d596624f01dcd91a29752d23198,5989,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,API-GOVERNANCE-POLICY,api,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0012,docs/source/inbox/kitluy-audit-event-registry-v1.0.0.csv,docs/source/security/kitluy-audit-event-registry-v1.0.0.csv,kitluy-audit-event-registry-v1.0.0.csv,,,1.0.0,,,,3d806a573bfa50e8df707731172b5716af5b4af7f0958ccc3b0bedef7481c58a,10160,text/csv,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,AUDIT-EVENT-REGISTRY,security,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0013,docs/source/inbox/kitluy-audit-event-registry-v1.0.0.md,docs/source/security/kitluy-audit-event-registry-v1.0.0.md,kitluy-audit-event-registry-v1.0.0.md,kitluy-audit-event-registry-v1.0.0.md,KitLuy Audit Event Registry,1.0.0,,HET / KitLuy Suite Project Owner,Canonical target contract; not implementation evidence,dfb516a19026846ea19eb59be74185d95d00a431008bdb3065925117a91d1d7b,23174,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,AUDIT-EVENT-REGISTRY,security,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0014,docs/source/inbox/kitluy-authority-and-precedence-v1.0.0.md,docs/source/canonical/kitluy-authority-and-precedence-v1.0.0.md,kitluy-authority-and-precedence-v1.0.0.md,kitluy-authority-and-precedence-v1.0.0.md,KitLuy Authority and Precedence Standard,1.0.0,,HET / KitLuy Suite Project Owner,CANONICAL GOVERNANCE STANDARD,7442cd604e2ce4b0137988b71a57e01ddca23492ff383a73c2b7ed3694f61567,6884,text/markdown,MASTER-AUTHORITY,CANONICAL-CURRENT,SOURCE-OF-TRUTH-CONTROL-PACK,suite,,bootstrap recreation in docs/authority/ (commit 4a79f66),,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0015,docs/source/inbox/kitluy-b2b-website-route-screen-inventory-v1.0.0.md,docs/source/ui-ux/kitluy-b2b-website-route-screen-inventory-v1.0.0.md,kitluy-b2b-website-route-screen-inventory-v1.0.0.md,kitluy-b2b-website-route-screen-inventory-v1.0.0.md,KitLuy B2B Website Route and Screen Inventory,1.0.0,2026-07-26,HET / KitLuy Suite Project Owner,Canonical target route contract; not implementation evidence,ddc104da18f1c9925fb35e254eb3ae84f81c7e86e39c84ad8f4570b3d51a2b08,54168,text/markdown,CURRENT-PRODUCT-SPECIFICATION,CANONICAL-CURRENT,ROUTE-SCREEN-INVENTORY,ui-ux,laundry,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0016,docs/source/inbox/kitluy-business-date-shift-and-close-rules-v1.0.0.md,docs/source/business-rules/kitluy-business-date-shift-and-close-rules-v1.0.0.md,kitluy-business-date-shift-and-close-rules-v1.0.0.md,kitluy-business-date-shift-and-close-rules-v1.0.0.md,"KitLuy Business Date, Shift and Close Rules",1.0.0,,,,916e758328fb833daa13e3effdd1501943d6b2aeb03096913998bd6434163bc9,32309,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,CANONICAL-BUSINESS-RULES,business-rules,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0017,docs/source/inbox/kitluy-canonical-business-rules-v1.0.0-manifest.json,docs/source/business-rules/kitluy-canonical-business-rules-v1.0.0-manifest.json,kitluy-canonical-business-rules-v1.0.0-manifest.json,,,1.0.0,,,,06e1cd0c7cab9ab9d4dd7eb04bcea0c5728a39d76ca4d6892ecf36b3d322f226,2405,application/json,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,PACK-CHECKSUMS (Canonical Business Rules Pack),business-rules,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0018,docs/source/inbox/kitluy-chain-pwa-portal-route-screen-inventory-v1.0.0.md,docs/source/ui-ux/kitluy-chain-pwa-portal-route-screen-inventory-v1.0.0.md,kitluy-chain-pwa-portal-route-screen-inventory-v1.0.0.md,kitluy-chain-pwa-portal-route-screen-inventory-v1.0.0.md,KitLuy Chain PWA Portal Route and Screen Inventory,1.0.0,2026-07-26,HET / KitLuy Suite Project Owner,Canonical target route contract; not implementation evidence,7dd27d8ab1c51618e576559c3205001ebdff0701fcd8fd89bb3ad16f7e20758e,98689,text/markdown,CURRENT-PRODUCT-SPECIFICATION,CANONICAL-CURRENT,ROUTE-SCREEN-INVENTORY,ui-ux,laundry,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0019,docs/source/inbox/kitluy-commerce-store-api-v1.0.0.md,docs/source/api-contracts/kitluy-commerce-store-api-v1.0.0.md,kitluy-commerce-store-api-v1.0.0.md,kitluy-commerce-store-api-v1.0.0.md,KitLuy Commerce Store API — Canonical Contract,1.0.0,,HET / KitLuy Suite Project Owner,Owner-requested canonical target contract; not implementation evidence,26a9648787442bfd72ed7554ae5120c24dd1928a6216c91ef36d792e1f175293,33389,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,GOVERNED-API-SPECIFICATION,api,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0020,docs/source/inbox/kitluy-component-inventory-v1.0.0.md,docs/source/ui-ux/kitluy-component-inventory-v1.0.0.md,kitluy-component-inventory-v1.0.0.md,kitluy-component-inventory-v1.0.0.md,KitLuy Shared Component Inventory,1.0.0,2026-07-26,HET / KitLuy Suite Project Owner,Canonical target standard; not implementation evidence,e12a5fb6d2f1d0488cd8d453c202b0713356ddf6707b8358fb6a42f5960b14ac,13812,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,UI-UX-STANDARD,ui-ux,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0021,docs/source/inbox/kitluy-configuration-publication-and-rollback-v1.0.0.md,docs/source/business-rules/kitluy-configuration-publication-and-rollback-v1.0.0.md,kitluy-configuration-publication-and-rollback-v1.0.0.md,kitluy-configuration-publication-and-rollback-v1.0.0.md,KitLuy Configuration Publication and Rollback Rules,1.0.0,,,,abde9f049e7afca5843155a47f85c14ddea76f1d4d08f809462b295cd56b5414,35260,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,CANONICAL-BUSINESS-RULES,business-rules,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0022,docs/source/inbox/kitluy-configuration-snapshot-contract-v1.0.0.md,docs/source/offline/kitluy-configuration-snapshot-contract-v1.0.0.md,kitluy-configuration-snapshot-contract-v1.0.0.md,kitluy-configuration-snapshot-contract-v1.0.0.md,KitLuy Configuration Snapshot Contract,1.0.0,,,Canonical target contract; not implementation evidence,701e29559946b644fc9d05bbf2431ce7c38e751b936bceaf936a0a2ff430d209,13583,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,STORE-HUB-OFFLINE-PROTOCOL,edge,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0023,docs/source/inbox/kitluy-connector-api-v1.0.0.md,docs/source/api-contracts/kitluy-connector-api-v1.0.0.md,kitluy-connector-api-v1.0.0.md,kitluy-connector-api-v1.0.0.md,KitLuy Connector API — Canonical Contract,1.0.0,,HET / KitLuy Suite Project Owner,Owner-requested canonical target contract; not implementation evidence,3928b56d93f04ec154087949d322f8969c42886fc4f26241f2a207b28d33884e,33604,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,GOVERNED-API-SPECIFICATION,api,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0024,docs/source/inbox/kitluy-connector-runtime-phase1-spec-v1.0.0.md,docs/source/shared-services/kitluy-connector-runtime-phase1-spec-v1.0.0.md,kitluy-connector-runtime-phase1-spec-v1.0.0.md,kitluy-connector-runtime-phase1-spec-v1.0.0.md,KitLuy Connector Runtime — Phase 1 Shared-Service Specification,1.0.0,2026-07-26,HET / KitLuy Suite Project Owner,Canonical target specification; not implementation evidence,560636f2852b069b4f7779cba7b0e33b21bc7744d289b3a874313a066a191636,37168,text/markdown,CURRENT-PRODUCT-SPECIFICATION,CANONICAL-CURRENT,SHARED-SERVICE-SPECIFICATION,services,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0025,docs/source/inbox/kitluy-core-business-rules-v1.0.0.md,docs/source/business-rules/kitluy-core-business-rules-v1.0.0.md,kitluy-core-business-rules-v1.0.0.md,kitluy-core-business-rules-v1.0.0.md,KitLuy Core Business Rules,1.0.0,,,,efb26857b994697366f2146bff4945d40f587cba88bf0566b33cc6c6d514b1a7,43334,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,CANONICAL-BUSINESS-RULES,business-rules,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0026,docs/source/inbox/kitluy-customer-identity-consent-and-privacy-v1.0.0.md,docs/source/business-rules/kitluy-customer-identity-consent-and-privacy-v1.0.0.md,kitluy-customer-identity-consent-and-privacy-v1.0.0.md,kitluy-customer-identity-consent-and-privacy-v1.0.0.md,"KitLuy Customer Identity, Consent and Privacy Rules",1.0.0,,,,ab1f6d1efd30d185e24f3d4f6516eddef2b364517026f24531b77268d8fe18c5,33331,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,CANONICAL-BUSINESS-RULES,business-rules,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0027,docs/source/inbox/kitluy-date-time-money-formatting-standard-v1.0.0.md,docs/source/ui-ux/kitluy-date-time-money-formatting-standard-v1.0.0.md,kitluy-date-time-money-formatting-standard-v1.0.0.md,kitluy-date-time-money-formatting-standard-v1.0.0.md,"KitLuy Date, Time and Money Formatting Standard",1.0.0,2026-07-26,HET / KitLuy Suite Project Owner,Canonical target standard; not implementation evidence,4c306445a778f1f28914b42bc601de9793f66b219e9bc83034b73bf6eefecc98,7121,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,UI-UX-STANDARD,ui-ux,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0028,docs/source/inbox/kitluy-decision-and-reconciliation-register-v1.0.0.md,docs/source/canonical/kitluy-decision-and-reconciliation-register-v1.0.0.md,kitluy-decision-and-reconciliation-register-v1.0.0.md,kitluy-decision-and-reconciliation-register-v1.0.0.md,KitLuy Decision and Reconciliation Register,1.0.0,,HET / KitLuy Suite Project Owner,CANONICAL DECISION AND CONFLICT REGISTER,babc489f3e3c32db10a370de014ed0fbad84a289b086b68504553025f68fc971,14645,text/markdown,MASTER-AUTHORITY,CANONICAL-CURRENT,SOURCE-OF-TRUTH-CONTROL-PACK,suite,,bootstrap recreation in docs/authority/ (commit 4a79f66),,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0029,docs/source/inbox/kitluy-design-system-v1.0.0.md,docs/source/ui-ux/kitluy-design-system-v1.0.0.md,kitluy-design-system-v1.0.0.md,kitluy-design-system-v1.0.0.md,KitLuy Shared Design System,1.0.0,2026-07-26,HET / KitLuy Suite Project Owner,Canonical target standard; not implementation evidence,f0e9ee4b85ea4b63c0b90cfb99b235c9dfb01a41f1b6c126400a932b9ced33c8,12682,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,UI-UX-STANDARD,ui-ux,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0030,docs/source/inbox/kitluy-design-token-registry-v1.0.0.json,docs/source/ui-ux/kitluy-design-token-registry-v1.0.0.json,kitluy-design-token-registry-v1.0.0.json,,,1.0.0,,,,88d9f1e853eb918a750a772475d14b7a5a2642f3fca0f5c3d51ac895f49d2714,10951,application/json,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,DESIGN-TOKEN-REGISTRY,ui-ux,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0031,docs/source/inbox/kitluy-device-certificate-and-trust-policy-v1.0.0.md,docs/source/security/kitluy-device-certificate-and-trust-policy-v1.0.0.md,kitluy-device-certificate-and-trust-policy-v1.0.0.md,kitluy-device-certificate-and-trust-policy-v1.0.0.md,KitLuy Device Certificate and Trust Policy,1.0.0,,HET / KitLuy Suite Project Owner,Canonical target contract; not implementation evidence,dec87c2bc071c556a924172a8a9ff0f989d488d4adbf81a0995e9c6970dbeb99,12053,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,SECURITY-POLICY,security,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0032,docs/source/inbox/kitluy-device-discovery-and-pairing-protocol-v1.0.0.md,docs/source/offline/kitluy-device-discovery-and-pairing-protocol-v1.0.0.md,kitluy-device-discovery-and-pairing-protocol-v1.0.0.md,kitluy-device-discovery-and-pairing-protocol-v1.0.0.md,KitLuy Device Discovery and Pairing Protocol,1.0.0,,,Canonical target protocol; not implementation evidence,a7a95969d52101bf3f79689f1c8c73504dd727667c73ecb53949db117907637b,11598,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,STORE-HUB-OFFLINE-PROTOCOL,edge,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0033,docs/source/inbox/kitluy-device-release-and-update-service-phase1-spec-v1.0.0.md,docs/source/shared-services/kitluy-device-release-and-update-service-phase1-spec-v1.0.0.md,kitluy-device-release-and-update-service-phase1-spec-v1.0.0.md,kitluy-device-release-and-update-service-phase1-spec-v1.0.0.md,KitLuy Device Release and Update Service — Phase 1 Shared-Service Specification,1.0.0,2026-07-26,HET / KitLuy Suite Project Owner,Canonical target specification; not implementation evidence,4c5d25f5cdd4393b96e1240834803c473759e68614a7bf7cdd5d426d0912cb33,38957,text/markdown,CURRENT-PRODUCT-SPECIFICATION,CANONICAL-CURRENT,SHARED-SERVICE-SPECIFICATION,services,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0034,docs/source/inbox/kitluy-domain-event-registry-v1.0.0.md,docs/source/api-contracts/kitluy-domain-event-registry-v1.0.0.md,kitluy-domain-event-registry-v1.0.0.md,kitluy-domain-event-registry-v1.0.0.md,KitLuy Domain Event Registry,1.0.0,,HET / KitLuy Suite Project Owner,Canonical target contract; not implementation evidence,d136ce2dfc714175b1fe18a9b7d301e1a1d7c0257b34fa7518e08a70057410ff,61774,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,DOMAIN-EVENT-REGISTRY,events,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0035,docs/source/inbox/kitluy-durable-job-registry-v1.0.0.md,docs/source/api-contracts/kitluy-durable-job-registry-v1.0.0.md,kitluy-durable-job-registry-v1.0.0.md,kitluy-durable-job-registry-v1.0.0.md,KitLuy Durable Job Registry,1.0.0,,HET / KitLuy Suite Project Owner,Canonical target contract; not implementation evidence,042e9f07347df2e4a978df2e4bcd00c0a6e549cf9a6d70e85e02c02b106041eb,19924,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,DURABLE-JOB-REGISTRY,events,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0036,docs/source/inbox/kitluy-edge-operations-api-v1.0.0.md,docs/source/api-contracts/kitluy-edge-operations-api-v1.0.0.md,kitluy-edge-operations-api-v1.0.0.md,kitluy-edge-operations-api-v1.0.0.md,KitLuy Edge Operations API — Canonical Contract,1.0.0,,HET / KitLuy Suite Project Owner,Owner-requested canonical target contract; not implementation evidence,d12d49b55c4fd1266f3652dbab0a553904fcc6dc3e331a6f0ee9d661e490e021,34572,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,GOVERNED-API-SPECIFICATION,api,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0037,docs/source/inbox/kitluy-edge-sync-protocol-v1.0.0.md,docs/source/offline/kitluy-edge-sync-protocol-v1.0.0.md,kitluy-edge-sync-protocol-v1.0.0.md,kitluy-edge-sync-protocol-v1.0.0.md,KitLuy Edge Sync Protocol,1.0.0,,,Canonical target contract; not implementation evidence,0bcd14dca14216ea11e19ebe667020c024b1bbaec94341572edf97dea81a0f38,15200,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,STORE-HUB-OFFLINE-PROTOCOL,edge,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0038,docs/source/inbox/kitluy-event-schema-compatibility-policy-v1.0.0.md,docs/source/api-contracts/kitluy-event-schema-compatibility-policy-v1.0.0.md,kitluy-event-schema-compatibility-policy-v1.0.0.md,kitluy-event-schema-compatibility-policy-v1.0.0.md,KitLuy Event Schema Compatibility Policy,1.0.0,,HET / KitLuy Suite Project Owner,Canonical target contract; not implementation evidence,4ec07bfd4cab9678522313bbd0b709b46fdcf3a3c391819837da5f8e2fa91a2d,9597,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,EVENT-COMPATIBILITY-POLICY,events,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0039,docs/source/inbox/kitluy-file-service-phase1-spec-v1.0.0.md,docs/source/shared-services/kitluy-file-service-phase1-spec-v1.0.0.md,kitluy-file-service-phase1-spec-v1.0.0.md,kitluy-file-service-phase1-spec-v1.0.0.md,KitLuy File Service — Phase 1 Shared-Service Specification,1.0.0,2026-07-26,HET / KitLuy Suite Project Owner,Canonical target specification; not implementation evidence,16afd7cc01e5efaacea1dbf348ccac25c10bc422bb0c85ff694788875346a5c3,38981,text/markdown,CURRENT-PRODUCT-SPECIFICATION,CANONICAL-CURRENT,SHARED-SERVICE-SPECIFICATION,services,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0040,docs/source/inbox/kitluy-finance-subledger-and-reconciliation-v1.0.0.md,docs/source/business-rules/kitluy-finance-subledger-and-reconciliation-v1.0.0.md,kitluy-finance-subledger-and-reconciliation-v1.0.0.md,kitluy-finance-subledger-and-reconciliation-v1.0.0.md,KitLuy Finance Subledger and Reconciliation Rules,1.0.0,,,,5e44333e2bec44c19c29fd564b5142a31566ae5bc14d468dda0683dc209094bb,36320,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,CANONICAL-BUSINESS-RULES,business-rules,,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0041,docs/source/inbox/kitluy-glossary-and-naming-standard-v1.0.0.md,docs/source/canonical/kitluy-glossary-and-naming-standard-v1.0.0.md,kitluy-glossary-and-naming-standard-v1.0.0.md,kitluy-glossary-and-naming-standard-v1.0.0.md,KitLuy Glossary and Naming Standard,1.0.0,,HET / KitLuy Suite Project Owner,CANONICAL TERMINOLOGY STANDARD,bc9c786f40e8a4d495031e17e9bb16a41334dec82e8f06caf5d837de20a83c67,19269,text/markdown,MASTER-AUTHORITY,CANONICAL-CURRENT,SOURCE-OF-TRUTH-CONTROL-PACK,suite,,bootstrap recreation in docs/authority/ (commit 4a79f66),,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0042,docs/source/inbox/kitluy-hardware-compatibility-matrix-phase1-v1.0.0.md,docs/source/offline/kitluy-hardware-compatibility-matrix-phase1-v1.0.0.md,kitluy-hardware-compatibility-matrix-phase1-v1.0.0.md,kitluy-hardware-compatibility-matrix-phase1-v1.0.0.md,KitLuy Hardware Compatibility Matrix — Phase 1 Laundry,1.0.0,,,Certification baseline and test contract; not proof that HET certification tests have passed,1b5bbd467110ea350582d328601c96db32c0ef3c5360cfbdfdcd028af43f0fb0,14582,text/markdown,CANONICAL-SHARED-CONTRACT,CANONICAL-CURRENT,HARDWARE-COMPATIBILITY-MATRIX,edge,laundry,,,,,NONE,2026-07-26T16:00:00+07:00,,
KLSRC-0043,docs/source/inbox/kitluy-implementation-status-and-evidence-register-v1.0.0.md,docs/source/canonical/kitluy-implementation-status-and-evidence-register-v1.0.0.md,kitluy-implementation-status-and-evidence-register-v1.0.0.md,kitluy-implementation-status-and-evidence-register-v1.0.0.md,KitLuy Implementation Status and Evidence Register,1.0.0,,HET / KitLuy Suite Project Owner,CANONICAL IMPLEMENTATION-EVIDENCE CONTROL,815bbfc36fa5b1d3f8b5317cf246b85bd833a295e38364c05071e40f54c784e4,13297,text/markdown,MASTER-AUTHORITY,CANONICAL-CURRENT,SOURCE-OF-TRUTH-CONTROL-PACK,suite,,bootstrap recreation in docs/authority/ (commit 4a79f66),,,,NONE,2026-07-26T16:00:00+07:00,,
