relative_path,physical_filename,sha256,file_size,file_type,declared_title,declared_filename,declared_version,declared_date,declared_owner,declared_status,duplicate_of,filename_mismatch
docs/source/inbox/kitluy-ci-cd-pipeline-v1.0.0.md,kitluy-ci-cd-pipeline-v1.0.0.md,4e4ce44f8b50086d6c0a74a268592c306b76ac2f69cf199857448495b8aba3d1,9944,text/markdown,KitLuy CI/CD Pipeline,kitluy-ci-cd-pipeline-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Canonical operating target; not implementation evidence,,
docs/source/inbox/kitluy-code-review-checklist-v1.0.0.md,kitluy-code-review-checklist-v1.0.0.md,4661e28d0043ae72002abe8313bb40c52c0503ed6283a47a7324f195449adc9e,5044,text/markdown,KitLuy Code Review Checklist,,1.0.0,,,,,
docs/source/inbox/kitluy-coding-standards-typescript-react-v1.0.0.md,kitluy-coding-standards-typescript-react-v1.0.0.md,858953b56b0afa2e382d1edb99520e4b046e647b941e8ff38d6095779e04e2b8,7423,text/markdown,"KitLuy Coding Standards — TypeScript, React, React Native and Electron",,1.0.0,,,,,
docs/source/inbox/kitluy-contract-test-matrix-v1.0.0.md,kitluy-contract-test-matrix-v1.0.0.md,c1220e9f8df9855fbddc55d73f942617ece708316ea53d127bf35431521d2112,7432,text/markdown,KitLuy Contract Test Matrix,kitluy-contract-test-matrix-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Canonical testing and evidence specification; not execution evidence,,
docs/source/inbox/kitluy-cross-product-e2e-matrix-phase1-v1.0.0.md,kitluy-cross-product-e2e-matrix-phase1-v1.0.0.md,82053e618a37b5ca751a0761017e0a481c6ee90043360024187a92de8cca3b3c,7930,text/markdown,KitLuy Cross-Product E2E Matrix - Phase 1,kitluy-cross-product-e2e-matrix-phase1-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Canonical testing and evidence specification; not execution evidence,,
docs/source/inbox/kitluy-database-coding-standard-v1.0.0.md,kitluy-database-coding-standard-v1.0.0.md,f2ec0e4e549b6c36f35ef3e59448007d69a510edc999b55d3219765b6c25097d,7579,text/markdown,KitLuy Database Coding Standard,,1.0.0,,,,,
docs/source/inbox/kitluy-database-deployment-runbook-v1.0.0.md,kitluy-database-deployment-runbook-v1.0.0.md,1fb34c5fa3de4430eaca670eddceec0c1a605faf6b9ba1b85cae252a73843023,10661,text/markdown,KitLuy Database Deployment Runbook,kitluy-database-deployment-runbook-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Canonical operating target; not implementation evidence,,
docs/source/inbox/kitluy-definition-of-done-v1.0.0.md,kitluy-definition-of-done-v1.0.0.md,f64c291b7e08f836215f5922d7a1aaa7c5f2d7b253bf7ad9f5641a9910208b40,4968,text/markdown,KitLuy Definition of Done,,1.0.0,,,,,
docs/source/inbox/kitluy-dependency-and-supply-chain-policy-v1.0.0.md,kitluy-dependency-and-supply-chain-policy-v1.0.0.md,68948527a2bf85f6bb6fd9261e794e85f8336cc3118f7d9fbed8e41c73c28dc1,5120,text/markdown,KitLuy Dependency and Software Supply Chain Policy,,1.0.0,,,,,
docs/source/inbox/kitluy-deployment-topology-phase1-v1.0.0.md,kitluy-deployment-topology-phase1-v1.0.0.md,62146466258c34f45cd722ab648001609cbddc6f47e80e68c4b7f4d262c81dd0,9975,text/markdown,KitLuy Deployment Topology — Phase 1,kitluy-deployment-topology-phase1-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Canonical operating target; not implementation evidence,,
docs/source/inbox/kitluy-domain-dns-and-tls-plan-v1.0.0.md,kitluy-domain-dns-and-tls-plan-v1.0.0.md,943df7546123969faf822c96266fab0ffdf508d2d47ad0b5588cae35d5e1bf51,9642,text/markdown,"KitLuy Domain, DNS and TLS Plan",kitluy-domain-dns-and-tls-plan-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Canonical operating target; not implementation evidence,,
docs/source/inbox/kitluy-environment-matrix-v1.0.0.md,kitluy-environment-matrix-v1.0.0.md,ac3d8760cafc0a59907fd6abe0a8b8103c584d3a2c6830defb28b3038bd86518,10189,text/markdown,KitLuy Environment Matrix,kitluy-environment-matrix-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Canonical operating target; not implementation evidence,,
docs/source/inbox/kitluy-error-handling-and-logging-standard-v1.0.0.md,kitluy-error-handling-and-logging-standard-v1.0.0.md,4ece90d3861e405557ae12042c6c283c4d18bc330c92a0c3c3a2329315947a6b,5576,text/markdown,KitLuy Error Handling and Logging Standard,,1.0.0,,,,,
docs/source/inbox/kitluy-hardware-certification-test-plan-v1.0.0.md,kitluy-hardware-certification-test-plan-v1.0.0.md,2251998a817bac17046c14314921d173597731891cbfd5c51c90f3f4a6efbc7e,5353,text/markdown,KitLuy Hardware Certification Test Plan,kitluy-hardware-certification-test-plan-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Canonical testing and evidence specification; not execution evidence,,
docs/source/inbox/kitluy-incident-response-runbook-v1.0.0.md,kitluy-incident-response-runbook-v1.0.0.md,d0240a173bfb40e62c02c0749a475240eeb444df88f9dea7d9a81e1b04163d9c,10597,text/markdown,KitLuy Incident Response Runbook,kitluy-incident-response-runbook-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Canonical operating target; not implementation evidence,,
docs/source/inbox/kitluy-infrastructure-as-code-plan-v1.0.0.md,kitluy-infrastructure-as-code-plan-v1.0.0.md,f2946557c641908a70e847f072db9ea4178aa30c029d872a0ff0405483580e06,10278,text/markdown,KitLuy Infrastructure-as-Code Plan,kitluy-infrastructure-as-code-plan-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Canonical operating target; not implementation evidence,,
docs/source/inbox/kitluy-monorepo-blueprint-v1.0.0.md,kitluy-monorepo-blueprint-v1.0.0.md,519287a2d8fa841b0769499a88a1cdab92767779be582c6a1f0a195d93c1e21d,12454,text/markdown,KitLuy Monorepo Blueprint,,1.0.0,,,,,
docs/source/inbox/kitluy-observability-and-alert-registry-v1.0.0.md,kitluy-observability-and-alert-registry-v1.0.0.md,1bf8993314905852c22416134d537ed5aa174df61a0fa3a76b27ed6214ca34b2,10613,text/markdown,KitLuy Observability and Alert Registry,kitluy-observability-and-alert-registry-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Canonical operating target; not implementation evidence,,
docs/source/inbox/kitluy-offline-and-reconnect-test-pack-v1.0.0.md,kitluy-offline-and-reconnect-test-pack-v1.0.0.md,83b3daeb1b08b440911c83057689dece48e76a115d70cfb54fc7931111931740,6445,text/markdown,KitLuy Offline and Reconnect Test Pack,kitluy-offline-and-reconnect-test-pack-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Canonical testing and evidence specification; not execution evidence,,
docs/source/inbox/kitluy-package-boundary-and-dependency-rules-v1.0.0.md,kitluy-package-boundary-and-dependency-rules-v1.0.0.md,f0779ea7485e76be7c485b389a366eac7c63772f94ed97848e53903830b5b80e,7224,text/markdown,KitLuy Package Boundary and Dependency Rules,,1.0.0,,,,,
docs/source/inbox/kitluy-payment-and-reconciliation-test-vectors-v1.0.0.json,kitluy-payment-and-reconciliation-test-vectors-v1.0.0.json,59b2e6a0c211ef4ce05ed1804f32cf2d154e577f57da976bd0d8d37c92ff72f3,15913,application/json,,,1.0.0,,,,,
docs/source/inbox/kitluy-performance-and-capacity-test-plan-v1.0.0.md,kitluy-performance-and-capacity-test-plan-v1.0.0.md,f8188d61232b4b293fad69543a53c21ae3c8d871b125379560c62a91a4e88dc9,5957,text/markdown,KitLuy Performance and Capacity Test Plan,kitluy-performance-and-capacity-test-plan-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Canonical testing and evidence specification; not execution evidence,,
docs/source/inbox/kitluy-phase1-go-live-checklist-v1.0.0.md,kitluy-phase1-go-live-checklist-v1.0.0.md,4fda02982b54ebecc62c3e119586b106e17d8a3b8aa83b943a160a7236fd6085,15293,text/markdown,KitLuy Phase 1 Go-Live Checklist,kitluy-phase1-go-live-checklist-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Canonical operating target; not implementation evidence,,
docs/source/inbox/kitluy-phase1-master-test-plan-v1.0.0.md,kitluy-phase1-master-test-plan-v1.0.0.md,005d987a628523e508ac403b399086e3e54917ffc8ec319057868c7fac2188b3,15508,text/markdown,KitLuy Phase 1 Master Test Plan,kitluy-phase1-master-test-plan-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Canonical testing and evidence specification; not execution evidence,,
docs/source/inbox/kitluy-phase1-pilot-runbook-v1.0.0.md,kitluy-phase1-pilot-runbook-v1.0.0.md,0ec508df309f8553628734de2249492eb9ff17ebbc87c9f75fee184f0c968ed7,10893,text/markdown,KitLuy Phase 1 Pilot Runbook,kitluy-phase1-pilot-runbook-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Canonical operating target; not implementation evidence,,
docs/source/inbox/kitluy-pilot-evidence-template-v1.0.0.md,kitluy-pilot-evidence-template-v1.0.0.md,a5fcec9a180d4820c80498760eac66a0789ce112a1cc97e26f59597bc42f539b,5636,text/markdown,KitLuy Pilot Evidence Template,kitluy-pilot-evidence-template-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Fillable evidence template; blank until a controlled pilot is executed,,
docs/source/inbox/kitluy-rebuild-test-checklist-v1.0.0.md,kitluy-rebuild-test-checklist-v1.0.0.md,9444b18595ff20aa596cfd6b9ca177437e0ea31b6845963bd6205760c60cb2d5,6639,text/markdown,KitLuy Rebuild Test Checklist,kitluy-rebuild-test-checklist-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Canonical G5 checklist; not a completed Rebuild Test,,
docs/source/inbox/kitluy-release-channel-and-promotion-policy-v1.0.0.md,kitluy-release-channel-and-promotion-policy-v1.0.0.md,9369a37b49b70091d818d4cbd8391e2ae673b6964f2bfa41cd1e61e2882f2e95,8987,text/markdown,KitLuy Release Channel and Promotion Policy,kitluy-release-channel-and-promotion-policy-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Canonical operating target; not implementation evidence,,
docs/source/inbox/kitluy-rls-and-tenant-isolation-test-pack-v1.0.0.md,kitluy-rls-and-tenant-isolation-test-pack-v1.0.0.md,00dd30199261397628632a6ee7cd3b33b7d644bdef6ddaf4aba91fb6287358b6,5590,text/markdown,KitLuy RLS and Tenant Isolation Test Pack,kitluy-rls-and-tenant-isolation-test-pack-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Canonical testing and evidence specification; not execution evidence,,
docs/source/inbox/kitluy-rollback-and-emergency-change-runbook-v1.0.0.md,kitluy-rollback-and-emergency-change-runbook-v1.0.0.md,e568e0de66b2560e86c71a69533d7b395ff73fd203fc884426b02b59659cf934,9405,text/markdown,KitLuy Rollback and Emergency Change Runbook,kitluy-rollback-and-emergency-change-runbook-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Canonical operating target; not implementation evidence,,
docs/source/inbox/kitluy-secrets-inventory-v1.0.0.md,kitluy-secrets-inventory-v1.0.0.md,9eb8fbe30a2b19325e2c9770227c4e75e60b2dddd67129af2071455038378713,12418,text/markdown,KitLuy Secrets Inventory — References Only,kitluy-secrets-inventory-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Canonical operating target; not implementation evidence,,
docs/source/inbox/kitluy-security-test-plan-v1.0.0.md,kitluy-security-test-plan-v1.0.0.md,92a4dcaffbc933befc896981dfb23f8908492e8717023069ec93beb3f9cd6cbf,6232,text/markdown,KitLuy Security Test Plan,kitluy-security-test-plan-v1.0.0.md,1.0.0,,HET / KitLuy Suite Project Owner,Canonical testing and evidence specification; not execution evidence,,
docs/source/inbox/kitluy-test-case-registry-phase1-v1.0.0.csv,kitluy-test-case-registry-phase1-v1.0.0.csv,d5910ab930feb7425c33a7fa242d7e6d2fd3cd1a8052eaddaa560bcbca0ba190,505590,text/csv,,,1.0.0,,,,,
docs/source/inbox/kitluy-testing-standard-v1.0.0.md,kitluy-testing-standard-v1.0.0.md,7838524590c83e56f3f5fd41a3837975b609f588b0920efa3e09b9f939bf810c,5567,text/markdown,KitLuy Testing Standard,,1.0.0,,,,,
docs/source/inbox/pack-manifest.json,pack-manifest.json,ae0d9842e5869f662906e350eac49917bb39f98e57937350e031e4f03f2309ca,1131,application/json,,,,,,,,
