Master Feature ID,Domain,Canonical KitLuy Capability,Primary Owner,Authority,Master Disposition,Earliest Phase,Phase Coverage,Source Platforms,Source Row Count,WooCommerce IDs,Toast IDs,Shopify IDs,Lightspeed IDs,Loyverse IDs,Source Classifications,Source Capability Names,Review Note,Owner Decision ID,Owner Decision Choice,Owner Decision Effective Date,Owner Decision,Owner Decision Rules
KLMF-CAT-006,CAT,"Catalog lookup, search and filter projection",Shared Suite Governance & KitLuy Core,PLANNING CANDIDATE,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KLC-WC-047,,,,,CORE CANDIDATE,Product lookup and filter projection,,,,,,
KLMF-CAT-007,CAT,Catalog publication lifecycle and channel availability,Shared Suite Governance & KitLuy Core,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 3,Phase 3,Shopify,1,,,KLS-SH-018,,,ALREADY PHASE 3 TARGET,Products and lifecycle states,,,,,,
KLMF-CAT-008,CAT,"Categories, collections, tags and merchandising",Shared Suite Governance & KitLuy Core,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 1,Phase 1 foundation; through Phase 3,"Shopify, Loyverse",2,,,KLS-SH-020,,KL-LV-028,PHASE 3 HORIZONTAL | UX IMPROVEMENT,Collections and automated merchandising | Search and category navigation,,,,,,
KLMF-CAT-009,CAT,Chain operations,kitluy-chain-portal,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 1,Phase 1,Loyverse,1,,,,,KL-LV-013,KEEP KITLUY,Chain operations,,,,,,
KLMF-CAT-010,CAT,Chain Portal,Shared Suite Governance & KitLuy Core,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 1,Phase 1,WooCommerce,1,KCH-WC-002,,,,,KEEP KITLUY,Chain Portal,,,,,,
KLMF-CAT-011,CAT,Channel-specific availability and catalog projections,Shared Suite Governance & KitLuy Core,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,WooCommerce,1,KCA-WC-002,,,,,ALREADY OWNER-LOCKED,Channel-specific availability and catalog projections,,,,,,
KLMF-CAT-012,CAT,Counter POS,kitluy-pos-desktop-app,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 1,Phase 1,Loyverse,1,,,,,KL-LV-009,UX IMPROVEMENT,Counter POS,,,,,,
KLMF-CAT-013,CAT,Customer and production displays,Store Hub / kitluy-hub-agent,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,Loyverse,1,,,,,KL-LV-105,ADAPT,Customer and production displays,,,,,,
KLMF-CAT-014,CAT,Developer platform,Shared Suite Governance & KitLuy Core,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,Loyverse,1,,,,,KL-LV-017,CORE CANDIDATE,Developer platform,,,,,,
KLMF-CAT-015,CAT,Editorial pages and commerce-focused content,KitLuy Storefront,UNRESOLVED,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,Shopify,1,,,KLS-SH-030,,,PHASE 3 HORIZONTAL,Editorial pages and commerce-focused content,,,,,,
KLMF-CAT-016,CAT,External or affiliate products,Shared Suite Governance & KitLuy Core,UNRESOLVED,DEFER,Phase 3,Phase 3,WooCommerce,1,KSF-WC-032,,,,,DEFER,External or affiliate products,,,,,,
KLMF-CAT-017,CAT,Generic product metadata as transaction truth,Shared Suite Governance & KitLuy Core,OWNER-LOCKED,REJECT / ARCHITECTURAL GUARDRAIL,Unresolved,Unresolved,WooCommerce,1,KLC-WC-092,,,,,REJECT,Generic product metadata as transaction truth,,,,,,
KLMF-CAT-018,CAT,Governed extension ecosystem,Shared Suite Governance & KitLuy Core,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,WooCommerce,1,KID-WC-020,,,,,ALREADY OWNER-LOCKED,Governed extension ecosystem,,,,,,
KLMF-CAT-019,CAT,"Home, catalog, category and detail pages",KitLuy Storefront,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KSF-WC-014,,,,,ECOMMERCE VERTICAL,"Home, catalog, category and detail pages",,,,,,
KLMF-CAT-020,CAT,"Legacy Golf, Capital, NuORDER and acquired-product duplication",Shared Suite Governance & KitLuy Core,PLANNING CANDIDATE,REJECT / ARCHITECTURAL GUARDRAIL,Unresolved,Unresolved,Lightspeed,1,,,,KLS-LS-079,,REJECT,"Legacy Golf, Capital, NuORDER and acquired-product duplication",,,,,,
KLMF-CAT-021,CAT,Localized catalog content,Shared Suite Governance & KitLuy Core,PLANNING CANDIDATE,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KSF-WC-021,,,,,CORE CANDIDATE,Localized catalog content,,,,,,
KLMF-CAT-022,CAT,"Market-specific domains, catalogs and pricing",KitLuy Storefront,UNRESOLVED,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,Shopify,1,,,KLS-SH-086,,,INTERNATIONAL COMMERCE,"Market-specific domains, catalogs and pricing",,,,,,
KLMF-CAT-023,CAT,Media galleries,Shared Suite Governance & KitLuy Core,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KSF-WC-022,,,,,ECOMMERCE VERTICAL,Media galleries,,,,,,
KLMF-CAT-024,CAT,Merchant-managed hosting as normal,Shared Suite Governance & KitLuy Core,OWNER-LOCKED,REJECT / ARCHITECTURAL GUARDRAIL,Unresolved,Unresolved,WooCommerce,1,KAD-WC-020,,,,,REJECT,Merchant-managed hosting as normal,,,,,,
KLMF-CAT-025,CAT,Metafields-like typed optional metadata,Integration Hub / Developer Platform,UNRESOLVED,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,Shopify,1,,,KLS-SH-024,,,DEVELOPER PLATFORM,Metafields-like typed optional metadata,,,,,,
KLMF-CAT-026,CAT,Metaobjects-like reusable content types,Integration Hub / Developer Platform,UNRESOLVED,DEFER,Phase 3,Phase 3,Shopify,1,,,KLS-SH-025,,,DEFER,Metaobjects-like reusable content types,,,,,,
KLMF-CAT-027,CAT,"Neutral catalog item, service and offer model",Shared Suite Governance & KitLuy Core,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 1,Phase 1 foundation; through Phase 3,"WooCommerce, Shopify, Lightspeed",3,KLC-WC-005,,KLS-SH-017,KLS-LS-015,,KEEP KITLUY | CORE CANDIDATE,Neutral catalog architecture | Neutral catalog item and offer model | Neutral catalog item with vertical roles,,,,,,
KLMF-CAT-028,CAT,Online commerce,KitLuy Storefront,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 3,Phase 3,Loyverse,1,,,,,KL-LV-006,KEEP KITLUY,Online commerce,,,,,,
KLMF-CAT-029,CAT,Partner Portal and Partner App split,Shared Suite Governance & KitLuy Core,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 1,Phase 1,WooCommerce,1,KPP-WC-012,,,,,KEEP KITLUY,Partner Portal and Partner App split,,,,,,
KLMF-CAT-030,CAT,Physical Store model,Store Hub / kitluy-hub-agent,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,Loyverse,1,,,,,KL-LV-005,KEEP KITLUY,Physical Store model,,,,,,
KLMF-CAT-031,CAT,POS Desktop/Mobile,Shared Suite Governance & KitLuy Core,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 1,Phase 1,WooCommerce,1,KPD-WC-001,,,,,KEEP KITLUY,POS Desktop/Mobile,,,,,,
KLMF-CAT-032,CAT,Production station/stage routing,Store Hub / kitluy-hub-agent,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 1,Phase 1 foundation; through Phase 2,Loyverse,1,,,,,KL-LV-049,ADAPT,Production station/stage routing,,,,,,
KLMF-CAT-033,CAT,Search and faceted filters,KitLuy Storefront,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,Shopify,1,,,KLS-SH-028,,,PHASE 3 HORIZONTAL,Search and faceted filters,,,,,,
KLMF-CAT-034,CAT,"SEO fields, canonical URLs and redirects",KitLuy Storefront,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 3,Phase 3,Shopify,1,,,KLS-SH-029,,,ALREADY PHASE 3 TARGET,"SEO fields, canonical URLs and redirects",,,,,,
KLMF-CAT-035,CAT,Simple product and service items,Shared Suite Governance & KitLuy Core,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KLC-WC-049,,,,,ECOMMERCE VERTICAL,Simple products,,,,,,
KLMF-CAT-036,CAT,"SKU, barcode and scan-code management",Shared Suite Governance & KitLuy Core,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 1,Phase 1 foundation; through Phase 7,"WooCommerce, Lightspeed",3,KLC-WC-048,,,KLS-LS-017; KLS-LS-020,,CORE CANDIDATE | ALREADY LATER-PHASE TARGET,"SKU, barcode, categories and tags | SKU, barcode and fast lookup | Weighted products and embedded barcodes",,,,,,
KLMF-CAT-037,CAT,Social and search product feeds,Integration Hub / Developer Platform,PLANNING CANDIDATE,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,Lightspeed,1,,,,KLS-LS-058,,ADOPT,Social and search product feeds,,,,,,
KLMF-CAT-038,CAT,Store Hub,Shared Suite Governance & KitLuy Core,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,WooCommerce,1,KHB-WC-012,,,,,KEEP KITLUY,Store Hub,,,,,,
KLMF-CAT-039,CAT,T2/Production Display/T3/T4 during WAN outage,Store Hub / kitluy-hub-agent,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,Loyverse,1,,,,,KL-LV-099,ADAPT,T2/Production Display/T3/T4 during WAN outage,,,,,,
KLMF-CAT-040,CAT,Variants and option dimensions,Shared Suite Governance & KitLuy Core,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 3,Phase 3,Shopify,1,,,KLS-SH-019,,,ALREADY PHASE 3 TARGET,Variants and option dimensions,,,,,,
KLMF-CAT-041,CAT,"Variants, options, attributes and matrix products",Shared Suite Governance & KitLuy Core,OWNER-LOCKED,"PHASED: APPROVED FOUNDATION, DEFERRED DEPTH",Phase 3,Phase 3 foundation; through Phase 4,"WooCommerce, Lightspeed, Loyverse",3,KLC-WC-050,,,KLS-LS-016,KL-LV-056,CORE CANDIDATE | ALREADY PHASE 3 TARGET | DEFER,"Variable products, variants and attributes | Variants and matrix products | Variants and large SKU catalogs",,,,,,
KLMF-CAT-042,CAT,Vertical selection before catalog setup,kitluy-partner-portal,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,Shopify,1,,,KLS-SH-011,,,KEEP KITLUY,Vertical selection before catalog setup,,,,,,
KLMF-CAT-043,CAT,Virtual products,Shared Suite Governance & KitLuy Core,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KSF-WC-025,,,,,ECOMMERCE VERTICAL,Virtual products,,,,,,
KLMF-COM-001,COM,Accessibility and performance budgets,KitLuy Storefront,UNRESOLVED,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,Shopify,1,,,KLS-SH-040,,,ADOPT,Accessibility and performance budgets,,,,,,
KLMF-COM-002,COM,Authenticated cart merge,Commerce Store API,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,Shopify,1,,,KLS-SH-044,,,PHASE 3 HORIZONTAL,Authenticated cart merge,,,,,,
KLMF-COM-003,COM,"Billing, shipping and fulfilment address snapshots",Commerce Store API,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1 foundation; through Phase 3,WooCommerce,2,KLC-WC-051; KLC-WC-072,,,,,CORE CANDIDATE | ALREADY OWNER-LOCKED,Billing/shipping address validation and snapshots | Order addresses and operational data,,,,,,
KLMF-COM-004,COM,Cache invalidation and stale availability labels,KitLuy Storefront,UNRESOLVED,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,Shopify,1,,,KLS-SH-041,,,ADAPT,Cache invalidation and stale availability labels,,,,,,
KLMF-COM-005,COM,Cart and commerce-session lifecycle,Commerce Store API,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1 foundation; through Phase 3,"WooCommerce, Shopify, Lightspeed",3,KCS-WC-003,,KLS-SH-043,KLS-LS-057,,ALREADY OWNER-LOCKED | ALREADY KITLUY-LOCKED,"Guest and customer carts | Guest carts and commerce sessions | Guest/customer carts, continuation and merge",,,,,,
KLMF-COM-006,COM,Cart expiration and session revocation,Commerce Store API,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,WooCommerce,1,KCS-WC-007,,,,,ALREADY OWNER-LOCKED,Cart expiration and session revocation,,,,,,
KLMF-COM-007,COM,Cart tokens and server-side cart state,Commerce Store API,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,WooCommerce,1,KCS-WC-002,,,,,ALREADY OWNER-LOCKED,Cart tokens and server-side cart state,,,,,,
KLMF-COM-008,COM,Channel attribution,Commerce Store API,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,WooCommerce,1,KCS-WC-009,,,,,ALREADY OWNER-LOCKED,Channel attribution,,,,,,
KLMF-COM-009,COM,Checkout orchestration and single-page UX,Commerce Store API,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 3,Phase 3,"WooCommerce, Shopify",2,KSF-WC-007,,KLS-SH-045,,,UX IMPROVEMENT | ALREADY PHASE 3 TARGET,Single-page checkout UX | One-page checkout orchestration,,,,,,
KLMF-COM-010,COM,Commerce analytics and conversion funnel,kitluy-partner-portal,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,Shopify,1,,,KLS-SH-108,,,PHASE 3 HORIZONTAL,Commerce analytics and conversion funnel,,,,,,
KLMF-COM-011,COM,Commerce Store API,Shared Suite Governance & KitLuy Core,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,WooCommerce,1,KCS-WC-001,,,,,ALREADY OWNER-LOCKED,Commerce Store API,,,,,,
KLMF-COM-012,COM,Commerce Store API maturity,Commerce Store API,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 3,Phase 3,Shopify,1,,,KLS-SH-097,,,DEVELOPER PLATFORM,Commerce Store API maturity,,,,,,
KLMF-COM-013,COM,Cookie and nonce dependence for headless clients,Commerce Store API,OWNER-LOCKED,REJECT / ARCHITECTURAL GUARDRAIL,Unresolved,Unresolved,WooCommerce,1,KCS-WC-017,,,,,REJECT,Cookie and nonce dependence for headless clients,,,,,,
KLMF-COM-014,COM,Custom domain and SSL lifecycle,KitLuy Storefront,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KSF-WC-013,,,,,ECOMMERCE VERTICAL,Custom domain and SSL lifecycle,,,,,,
KLMF-COM-015,COM,Customer lookup,Shared Suite Governance & KitLuy Core,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 1,Phase 1,Loyverse,1,,,,,KL-LV-040,UX IMPROVEMENT,Customer lookup,,,,,,
KLMF-COM-016,COM,Customer-entered e-receipt destination,Shared Suite Governance & KitLuy Core,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 1,Phase 1,Loyverse,1,,,,,KL-LV-038,UX IMPROVEMENT,Customer-entered e-receipt destination,,,,,,
KLMF-COM-017,COM,Digital control plane and storefront API health,Shared Suite Governance & KitLuy Core,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1 foundation; through Phase 3,WooCommerce,1,KAD-WC-012,,,,,ALREADY OWNER-LOCKED,Digital control plane and storefront API health,,,,,,
KLMF-COM-018,COM,Discount application,Shared Suite Governance & KitLuy Core,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 1,Phase 1,Loyverse,1,,,,,KL-LV-032,UX IMPROVEMENT,Discount application,,,,,,
KLMF-COM-019,COM,Embeddable storefront widget,KitLuy Storefront,PLANNING CANDIDATE,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,Lightspeed,1,,,,KLS-LS-056,,ADOPT,Embeddable storefront widget,,,,,,
KLMF-COM-020,COM,Embedded commerce / buy-button surface,KitLuy Storefront,UNRESOLVED,DEFER,Phase 3,Phase 3,Shopify,1,,,KLS-SH-038,,,DEFER,Embedded commerce / buy-button surface,,,,,,
KLMF-COM-021,COM,General CMS or blog engine,KitLuy Storefront,OWNER-LOCKED,REJECT / ARCHITECTURAL GUARDRAIL,Unresolved,Unresolved,WooCommerce,1,KSF-WC-036,,,,,REJECT,General CMS or blog engine,,,,,,
KLMF-COM-022,COM,Guest and registered-customer checkout,Commerce Store API,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KSF-WC-004,,,,,ECOMMERCE VERTICAL,Guest and registered-customer checkout,,,,,,
KLMF-COM-023,COM,Headless storefront tokens and contexts,KitLuy Storefront,UNRESOLVED,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,Shopify,1,,,KLS-SH-037,,,DEVELOPER PLATFORM,Headless storefront tokens and contexts,,,,,,
KLMF-COM-024,COM,Human approval and phase eligibility,Commerce Store API,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 3,Phase 3,WooCommerce,1,KLC-WC-039,,,,,KEEP KITLUY,Human approval and phase eligibility,,,,,,
KLMF-COM-025,COM,Intake draft state,Shared Suite Governance & KitLuy Core,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 1,Phase 1,Loyverse,1,,,,,KL-LV-030,ADAPT,Intake draft state,,,,,,
KLMF-COM-026,COM,Localization and currency presentation,KitLuy Storefront,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 3,Phase 3,Shopify,1,,,KLS-SH-039,,,ALREADY PHASE 3 TARGET,Localization and currency presentation,,,,,,
KLMF-COM-027,COM,"Multi-device continuation, QR sessions and social deep links",Commerce Store API,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,WooCommerce,1,KCS-WC-011,,,,,ALREADY OWNER-LOCKED,"Multi-device continuation, QR sessions and social deep links",,,,,,
KLMF-COM-028,COM,Offline checkout,Store Hub / kitluy-hub-agent,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,Loyverse,1,,,,,KL-LV-042,KEEP KITLUY,Offline checkout,,,,,,
KLMF-COM-029,COM,Online checkout versus POS/T1 boundary,Shared Suite Governance & KitLuy Core,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,WooCommerce,1,KCS-WC-004,,,,,KEEP KITLUY,Online checkout versus POS/T1 boundary,,,,,,
KLMF-COM-030,COM,Online ordering,KitLuy Storefront / Commerce Store API,APPROVED TARGET,PRESERVE / DEEPEN KITLUY TARGET,Phase 2,Phase 2,Toast,1,,KST-066,,,,ALREADY PHASE 2 TARGET,Online ordering,,,,,,
KLMF-COM-031,COM,Online storefront during physical Store outage,Shared Suite Governance & KitLuy Core,PLANNING CANDIDATE,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KSF-WC-002,,,,,ADAPT,Online storefront during physical Store outage,,,,,,
KLMF-COM-032,COM,Order confirmation and customer notification,Shared Suite Governance & KitLuy Core,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KSF-WC-006,,,,,ECOMMERCE VERTICAL,Order confirmation and customer notification,,,,,,
KLMF-COM-033,COM,"Pause, resume, cancel and expire",Commerce Store API,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KCS-WC-016,,,,,ECOMMERCE VERTICAL,"Pause, resume, cancel and expire",,,,,,
KLMF-COM-034,COM,"Pickup, delivery and Store collection",Shared Suite Governance & KitLuy Core,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KCS-WC-012,,,,,ECOMMERCE VERTICAL,"Pickup, delivery and Store collection",,,,,,
KLMF-COM-035,COM,"Policies, contact information and business hours",KitLuy Storefront,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KSF-WC-029,,,,,ECOMMERCE VERTICAL,"Policies, contact information and business hours",,,,,,
KLMF-COM-036,COM,POS and KitLuy storefront projections,Shared Suite Governance & KitLuy Core,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 1,Phase 1,WooCommerce,1,KID-WC-006,,,,,ALREADY OWNER-LOCKED,POS and KitLuy storefront projections,,,,,,
KLMF-COM-037,COM,Post-checkout account creation and order attachment,Shared Suite Governance & KitLuy Core,PLANNING CANDIDATE,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KCS-WC-015,,,,,ADOPT,Post-checkout account creation and order attachment,,,,,,
KLMF-COM-038,COM,Price and availability revalidation,Shared Suite Governance & KitLuy Core,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,Shopify,1,,,KLS-SH-046,,,CORE CANDIDATE,Price and availability revalidation,,,,,,
KLMF-COM-039,COM,Scheduled and future orders,Commerce Store API,PLANNING CANDIDATE,ADOPT / ADAPT CANDIDATE,Phase 2,Phase 2,Toast,1,,KST-064,,,,ADOPT,Scheduled/future orders,,,,,,
KLMF-COM-040,COM,"Search, filtering and sorting",KitLuy Storefront,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KSF-WC-016,,,,,ECOMMERCE VERTICAL,"Search, filtering and sorting",,,,,,
KLMF-COM-041,COM,"SEO metadata, structured URLs and sitemap",KitLuy Storefront,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KSF-WC-030,,,,,ECOMMERCE VERTICAL,"SEO metadata, structured URLs and sitemap",,,,,,
KLMF-COM-042,COM,"Separate Management, Commerce, Edge and Connector APIs",Integration Hub / Developer Platform,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,All phases,All phases,Loyverse,1,,,,,KL-LV-085,KEEP KITLUY,"Separate Management, Commerce, Edge and Connector APIs",,,,,,
KLMF-COM-043,COM,Server-side validation and order review,Shared Suite Governance & KitLuy Core,PLANNING CANDIDATE,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KCS-WC-006,,,,,ADAPT,Server-side validation and order review,,,,,,
KLMF-COM-044,COM,Social sharing and campaign landing pages,KitLuy Storefront,APPROVED TARGET,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KSF-WC-035,,,,,HORIZONTAL AFTER PHASE 3,Social sharing and campaign landing pages,,,,,,
KLMF-COM-045,COM,Storefront availability and authoritative freshness,KitLuy Storefront,PLANNING CANDIDATE,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KSF-WC-003,,,,,ADAPT,Storefront availability and authoritative freshness,,,,,,
KLMF-COM-046,COM,Storefront performance and caching,KitLuy Storefront,PLANNING CANDIDATE,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,WooCommerce,1,KSF-WC-018,,,,,ADAPT,Storefront performance and caching,,,,,,
KLMF-COM-047,COM,Storefront publication from Digital Store,Shared Suite Governance & KitLuy Core,OWNER-LOCKED,PRESERVE OWNER-LOCKED AUTHORITY,Phase 3,Phase 3,WooCommerce,1,KSF-WC-010,,,,,ALREADY OWNER-LOCKED,Storefront publication from Digital Store,,,,,,
KLMF-COM-048,COM,Storefront status and rollback,kitluy-admin-portal,UNRESOLVED,ADOPT / ADAPT CANDIDATE,Phase 3,Phase 3,Shopify,1,,,KLS-SH-042,,,ADOPT,Storefront status and rollback,,,,,,
