permission,permitted_action,resource_type,available_scopes,environment_restrictions,reauthentication,approval_requirement,reason_requirement,primary_audit_event
billing.invoice_adjust,Create compensating adjustment or credit proposal,invoice_adjustment,"tenant, invoice",pilot/prod,Yes,A3_FOUR_EYES above policy threshold,Required,billing.invoice_adjustment_created
billing.invoice_mark_paid,Record approved manual settlement evidence,invoice,"tenant, invoice",prod,Yes,A3_FOUR_EYES,Required + evidence,billing.invoice_marked_paid
billing.grace_change,Change subscription grace/restriction window,subscription,"tenant, digital_store",pilot/prod,Yes,A2_REAUTH_MUTATION,Required,billing.grace_changed
billing.policy_manage,"Version plan, entitlement, dunning, or billing policy",billing_policy,platform,staging/pilot/prod,Yes + MFA,A4_OWNER_SECURITY,Required + impact assessment,billing.policy_versioned
support.ticket.manage,"Create, assign, escalate, resolve, or reopen support ticket",support_ticket,"tenant, digital_store, store_location, device",all,No for routine; Yes for sensitive changes,A1_STANDARD_MUTATION,Required for escalation/closure,support.ticket_changed
support.evidence.read,Read support-authorized evidence for a case,support_evidence,consent_session scope,pilot/prod,Yes for sensitive data,A2_REAUTH_MUTATION,Required + active consent,support.evidence_viewed
support.consent_session.start,Start a Partner-consented support access session,support_access_session,"tenant, digital_store, store_location, device",pilot/prod,Yes,A3_FOUR_EYES for impersonation/write,Required + ticket + consent,support.consent_session_started
support.impersonation.start,"Enter a clearly marked, scoped impersonation/session view",support_access_session,"tenant, digital_store, store_location",pilot/prod,Yes + MFA,A3_FOUR_EYES,Required + explicit consent,support.impersonation_started
support.intervention.execute,Perform an approved support intervention,support_intervention,active consent session scope,pilot/prod,Yes,Policy-derived A2/A3,Required,support.intervention_recorded
support.session.revoke,End support access immediately,support_access_session,"tenant, session",pilot/prod,No for Partner owner; Yes for HET,A1_STANDARD_MUTATION,Required,support.consent_session_revoked
integrations.read,"Read connector configuration, scopes, status, and health",connector,"tenant, digital_store, connector, platform",all,No,A0_READ,No,integration.read
integrations.test,Run governed sandbox/health test,connector_test,"connector, tenant, digital_store",all,Yes in prod,A2_REAUTH_MUTATION,Required in prod,integration.test_run
integrations.credentials_rotate,Rotate connector/provider credential reference,connector_credential,connector,pilot/prod,Yes + MFA,A3_FOUR_EYES for payment/production,Required,integration.credential_rotated
integrations.production_enable,Enable connector for production data flow,connector,"connector, tenant, digital_store",prod,Yes + MFA,A3_FOUR_EYES,Required + certification,integration.production_enabled
integrations.suspend,Suspend connector data flow safely,connector,"connector, tenant, digital_store",pilot/prod,Yes,A2; A3 if broad,Required,integration.suspended
webhooks.replay,Replay an eligible signed webhook delivery,webhook_delivery,"connector, tenant, digital_store",all,Yes in prod,A2_REAUTH_MUTATION,Required,webhook.replay_requested
audit.read,Read immutable audit and authorization events,audit_event,"platform, region, tenant, digital_store, store_location, subject",all,No,A0_READ,No,audit.read
audit.export,"Create scoped, checksummed audit evidence package",audit_export,authorized scope,all,Yes in prod,A2_REAUTH_MUTATION,Required,audit.export_requested
audit.security_review,Record security-control or incident-review decision,security_review,"platform, region, incident, subject",pilot/prod,Yes,A2_REAUTH_MUTATION,Required,audit.security_review_recorded
files.read,Read authorized file metadata and obtain short-lived signed access,file_object,"tenant, digital_store, store_location, support session",all,No; Yes for sensitive,A0/A2 by class,Policy-derived,file.access_issued
files.security_export,"Export sensitive security, certificate, or audit evidence",file_export,authorized scope,pilot/prod,Yes,A3_FOUR_EYES for broad/high sensitivity,Required,file.security_export_created
reports.export,Generate operational/report export without commercial paywall,report_export,"tenant, digital_store, store_location",all,No; Yes for sensitive/bulk,A1/A2 by class,Required for sensitive/bulk,report.export_requested
ai.policies.read,"Read AI Gateway, RAG, MCP, and model policy",ai_policy,"platform, service",all,No,A0_READ,No,ai.policy_read
ai.policies.manage,"Version model routing, data, retention, or tool policy",ai_policy,"platform, service",staging/pilot/prod,Yes,A3_FOUR_EYES,Required + evaluation evidence,ai.policy_versioned
ai.rag_sources.manage,"Add, disable, or reindex approved RAG source",rag_source,"platform, tenant, knowledge_base",all,Yes in prod,A2_REAUTH_MUTATION,Required,ai.rag_source_changed
ai.mcp_tools.enable_read,Enable read-only MCP tool in approved scope,mcp_tool,"platform, service, tenant",staging/pilot/prod,Yes,A3_FOUR_EYES in prod,Required + evaluation,ai.mcp_tool_enabled
ai.mcp_tools.enable_write,Enable write-capable MCP tool,mcp_tool,"platform, service, tenant",pilot/prod,Yes + MFA,A4_OWNER_SECURITY,Required + security review,ai.write_tool_enabled
laundry.bookings.read,Read Laundry Booking and custody status,laundry_booking,"tenant, digital_store, store_location",all,No,A0_READ,No,laundry.booking_read
laundry.bookings.create,Create authoritative Laundry Booking at T1/approved channel,laundry_booking,"store_location, terminal_role:T1",store_edge/pilot/prod,User PIN/session per role,A1_STANDARD_MUTATION,Operational reason only for override,laundry.booking_created
laundry.bookings.price_override,Override calculated price before finalization,laundry_booking,"store_location, terminal_role:T1",store_edge/pilot/prod,Yes/PIN,A2_REAUTH_MUTATION,Required,laundry.price_overridden
laundry.ready_scan_in,Record T3 Clean & Ready custody scan-in,garment_custody,"store_location, terminal_role:T3",store_edge/pilot/prod,Role session,A1_STANDARD_MUTATION,Required for exception,garment.ready_scanned_in
laundry.pickup_scan_out,Record T4 customer pickup and custody release,garment_custody,"store_location, terminal_role:T4",store_edge/pilot/prod,Role session; supervisor for override,A2 for exception,Required for override,garment.pickup_scanned_out
laundry.booking.complete,Complete Booking after payment/custody conditions,laundry_booking,"store_location, terminal_role:T4",store_edge/pilot/prod,Role session,A1; A2 exception,Required for exception,laundry.booking_completed
payments.read,"Read payment state, provider reference, and reconciliation summary",payment,"tenant, digital_store, store_location",all,No,A0_READ,No,payment.read
payments.capture.cash,Record cash tender at authorized T1/T4 workflow,payment,"store_location, terminal_role:T1|T4",store_edge/pilot/prod,Role session,A1_STANDARD_MUTATION,No except override,payment.cash_recorded
payments.khqr.create,Create KHQR payment request through approved adapter,payment_request,"store_location, terminal_role:T1|T4, storefront",store_edge/pilot/prod,Role/session as applicable,A1_STANDARD_MUTATION,No,payment.khqr_requested
payments.refund.request,Request compensating refund,refund_request,"tenant, digital_store, store_location, payment",pilot/prod,Yes/PIN,A2_REAUTH_MUTATION,Required,payment.refund_requested
payments.refund.approve,Approve refund under threshold/policy,refund_request,"store_location, tenant",pilot/prod,Yes/PIN,A3_FOUR_EYES above threshold,Required,payment.refund_approved
payments.void.request,Request void before settlement/finalization under rules,void_request,"store_location, transaction",store_edge/pilot/prod,Yes/PIN,A2_REAUTH_MUTATION,Required,payment.void_requested
inventory.movements.read,Read append-only inventory/consumable movement ledger,inventory_movement,"tenant, digital_store, store_location",all,No,A0_READ,No,inventory.movement_read
inventory.adjustment.request,Request inventory/consumable correction,inventory_adjustment,"store_location, item",store_edge/pilot/prod,Yes/PIN,A2_REAUTH_MUTATION,Required,inventory.adjustment_requested
inventory.adjustment.approve,Approve material inventory correction,inventory_adjustment,"store_location, tenant",pilot/prod,Yes,A3_FOUR_EYES above threshold,Required,inventory.adjustment_approved
